source_group,source_start,source_length,source_class,candidate_recipients,positive_expected_recipients,estimated_expected_net_sum,estimated_high_gross_sum,best_recipient,best_expected_net,evidence,rank
11,11543054,1047966,list,4,4,532.7271578902252,5787.271578902251,21,168.5571673925028,proxy_only,282
503,527365185,1048580,mixed,3,3,528.2198882112051,5672.19888211205,505,296.6,proxy_only,283
89,93379564,1048442,mixed,5,5,517.5156006085099,5705.156006085099,116,113.92106838036783,proxy_only,284
517,542108161,900155,list,2,2,510.55758765719315,5425.575876571931,518,293.6,proxy_only,285
514,538902052,946727,list,2,2,482.60763847843873,5146.076384784387,515,268.69537899925496,proxy_only,286
372,390012994,1038573,mixed,4,4,473.5177003256703,5195.177003256703,401,149.985063960581,proxy_only,287
183,191852700,1047401,mixed,5,5,458.7697827220079,5117.697827220079,213,105.11996624712305,proxy_only,288
281,294668268,1048970,url,4,4,458.64093390190595,5046.409339019059,389,131.46525287429728,proxy_only,289
55,57723048,1049196,mixed,4,4,433.07847580443183,4790.784758044319,57,131.46525287429728,proxy_only,290
488,511651677,1048310,mixed,2,2,412.96867306381796,4449.686730638179,503,293.6,proxy_only,291
223,233768080,1051892,url,5,5,405.7183691564776,4587.1836915647755,502,88.73344913797698,proxy_only,292
238,249525609,1048131,mixed,4,4,400.36504594852835,4463.650459485283,280,113.02106838036782,proxy_only,293
37,38839404,1047692,mixed,2,2,373.77685616366773,4057.768561636677,40,246.81160328937045,proxy_only,294
6,6291800,1050555,list,2,2,370.31123014947974,4023.112301494797,15,193.03901127611113,proxy_only,295
330,346065653,1018320,mixed,4,4,329.3700209506478,3753.700209506478,435,84.22010668365039,proxy_only,296
319,334529865,1047954,mixed,3,3,325.90538104331534,3649.0538104331536,336,111.52106838036782,proxy_only,297
389,407838930,1041373,url,3,3,311.08590481401893,3500.859048140189,481,105.72618027357294,proxy_only,298
381,399446860,1048161,list,3,3,308.9394332965376,3479.3943329653757,507,122.36867306381791,proxy_only,299
298,312501489,1050336,mixed,3,3,308.3356664686679,3473.3566646866793,304,122.36867306381791,proxy_only,300
297,311453368,1048121,mixed,3,3,291.1662532043464,3301.6625320434637,331,105.72618027357294,proxy_only,301
528,553435380,1048533,xml,1,1,284.6,3096.0,529,284.6,proxy_only,302
499,523185708,1047713,prose,1,1,284.6,3096.0,500,284.6,proxy_only,303
501,525271199,1046106,url,1,1,284.6,3096.0,502,284.6,proxy_only,304
346,362819734,1047685,mixed,1,1,284.6,3096.0,347,284.6,proxy_only,305
414,434027024,1049104,list,1,1,284.6,3096.0,415,284.6,proxy_only,306
267,279950692,1054372,list,1,1,284.6,3096.0,268,284.6,proxy_only,307
235,246375727,1054756,url,3,3,269.34526126942353,3083.452612694235,277,93.19192392024148,proxy_only,308
65,68210996,1049294,mixed,1,1,237.81160328937045,2628.1160328937044,66,237.81160328937045,proxy_only,309
24,25193445,1048781,list,2,2,227.20489124179798,2592.04891241798,27,124.47871096822504,proxy_only,310
60,62961887,1052056,url,2,2,225.37765826900159,2573.776582690016,102,114.05801420452156,proxy_only,311
397,416216119,1039686,url,2,2,225.2609732806697,2572.6097328066967,403,116.73990490030187,proxy_only,312
505,529462376,1048479,mixed,2,2,224.3699829427389,2563.6998294273885,520,134.1780590224974,proxy_only,313
275,288355507,1053024,mixed,1,1,215.40219241439345,2404.0219241439345,276,215.40219241439345,proxy_only,314
10,10494038,1049016,list,1,1,210.963616337973,2359.63616337973,11,210.963616337973,proxy_only,315
411,430882963,1051964,list,1,1,204.9122594791838,2299.122594791838,412,204.9122594791838,proxy_only,316
401,420399589,1048979,mixed,2,2,204.77977379215758,2367.797737921576,429,111.31964406448003,proxy_only,317
198,207577877,1047909,mixed,2,2,196.1863100012505,2281.863100012505,279,102.72618027357294,proxy_only,318
240,251621366,1049944,mixed,2,2,196.1863100012505,2281.863100012505,356,102.72618027357294,proxy_only,319
379,397345533,1049370,list,3,3,189.84286768527483,2288.428676852748,393,86.33344913797697,proxy_only,320
513,537847452,1054600,list,2,2,186.0522578899819,2180.5225788998187,514,131.81290240586938,proxy_only,321
334,350229990,1047914,mixed,2,2,179.44007293077343,2114.4007293077343,358,99.71996624712304,proxy_only,322
230,241116537,1055858,mixed,2,2,162.7847920028786,1947.8479200287857,280,86.81988821120507,proxy_only,323
87,91284118,1050456,template,1,1,144.99002046833084,1699.9002046833082,88,144.99002046833084,proxy_only,324
160,167792650,1046187,list,1,1,132.0599735582483,1570.5997355824827,162,132.0599735582483,proxy_only,325
36,37785676,1053728,url,1,1,125.1780590224974,1501.7805902249738,117,125.1780590224974,proxy_only,326
271,284155763,1047232,list,1,1,120.40928038997171,1454.0928038997172,290,120.40928038997171,proxy_only,327
151,158360441,1048546,list,1,1,117.96525287429728,1429.6525287429727,177,117.96525287429728,proxy_only,328
58,60864583,1045525,url,1,1,115.47871096822504,1404.7871096822505,101,115.47871096822504,proxy_only,329
258,270512944,1050707,mixed,1,1,112.94735568751025,1379.4735568751025,261,112.94735568751025,proxy_only,330
25,26242226,1047499,mixed,1,1,107.73990490030187,1327.3990490030185,66,107.73990490030187,proxy_only,331
303,317753088,1050608,mixed,1,1,105.05801420452156,1300.5801420452156,315,105.05801420452156,proxy_only,332
17,17844648,1051023,list,1,1,102.31964406448003,1273.1964406448003,19,102.31964406448003,proxy_only,333
73,76600145,1049404,mixed,1,1,99.52106838036782,1245.2106838036782,86,99.52106838036782,proxy_only,334
511,535752479,1045767,list,2,2,98.05801420452156,1300.5801420452156,516,49.02900710226078,proxy_only,335
71,74505116,1045745,mixed,1,1,96.65813238937459,1216.5813238937458,72,96.65813238937459,proxy_only,336
128,134244257,1053802,mixed,1,1,96.65813238937459,1216.5813238937458,129,96.65813238937459,proxy_only,337
216,226442019,1046400,mixed,1,1,93.72618027357294,1187.2618027357294,362,93.72618027357294,proxy_only,338
130,136352001,1050287,list,1,1,90.71996624712304,1157.1996624712303,145,90.71996624712304,proxy_only,339
82,86038265,1049376,mixed,1,1,84.46012972767755,1094.6012972767755,363,84.46012972767755,proxy_only,340
227,237961713,1046633,url,1,1,81.19192392024148,1061.9192392024147,283,81.19192392024148,proxy_only,341
286,299910374,1047569,url,1,1,77.81988821120507,1028.1988821120506,291,77.81988821120507,proxy_only,342
222,232720769,1047311,mixed,1,1,77.81988821120507,1028.1988821120506,232,77.81988821120507,proxy_only,343
35,36735523,1050153,list,1,1,70.72010668365039,957.2010668365039,269,70.72010668365039,proxy_only,344
399,418303849,1047728,url,1,1,66.96490379167352,919.6490379167351,426,66.96490379167352,proxy_only,345
175,183486730,1046059,list,1,1,40.02900710226078,650.2900710226078,267,40.02900710226078,proxy_only,346
186,194999546,1050949,list,1,1,20.98245189583676,459.82451895836755,515,20.98245189583676,proxy_only,347
43,45130116,1046219,list,1,1,12.544514755624348,375.44514755624346,518,12.544514755624348,proxy_only,348
